,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
677,678,04-09-102,"Новокосинская ул., д.11А",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1997-01-01,ПАО «МОЭК»,"Новокосинская ул., д.13, корп.4",0.183636,0.404176,0.46178,0.0,нет
678,679,04-09-102,"Новокосинская ул., д.11А",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Новокосино,1997-01-01,ПАО «МОЭК»,"Суздальская ул., д.8, корп.3",0.297934,0.659269,0.61401,0.0,нет
679,680,04-03-0209/127,"шоссе Энтузиастов, д.72",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1960-01-01,ПАО «МОЭК»,"шоссе Энтузиастов, д.72",0.05,0.175,0.31,0.0,да
680,681,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.34",0.11,0.242,0.207,0.0,да
681,682,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.30",0.11,0.242,0.207,0.0,да
682,683,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.28",0.11,0.242,0.207,0.0,да
683,684,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.26",0.11,0.242,0.21,0.0,да
684,685,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.36",0.045714,0.159999,0.069,0.199,да
685,686,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.38",0.05,0.175,0.192,0.0,да
686,687,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.32",0.11,0.242,0.207,0.0,да
687,688,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.29А",0.05,0.175,0.33,0.92,да
688,689,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Амурская ул., д.36, стр.1",0.0,0.0,0.0,0.0,да
689,690,04-06-0603/029,"Амурская ул., д.26, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.29",0.27,0.607,0.49,0.18,да
690,691,04-05-0602/030,"1-я Парковая ул., д.9, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1956-01-01,ПАО «МОЭК»,"1-я Парковая ул., д.5/7",0.0,0.0,0.14,0.0,нет
691,692,04-05-0602/030,"1-я Парковая ул., д.9, корп.2",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1956-01-01,ПАО «МОЭК»,"1-я Парковая ул., д.9, корп.2",0.0,0.0,0.175,0.0,нет
692,693,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Косинская ул., д.18, корп.3",0.17,0.374,0.38,0.0,да
693,694,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.13А",0.08,0.28,0.18,0.67,да
694,695,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Косинская ул., д.20/17, корп.1",0.24,0.528,0.7,0.0,да
695,696,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Косинская ул., д.18, корп.1",0.36,0.792,1.04,0.0,да
696,697,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.15, корп.2",0.085,0.187,0.2,0.0,да
697,698,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.15, корп.1",0.36,0.79226,1.06,0.0,да
698,699,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Вешняковская ул., д.31А",0.012,0.042,0.04,0.0,да
699,700,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.13Б",0.07,0.245,0.22,0.05,да
700,701,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.15А",0.042,0.147,0.16,0.03,да
701,702,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Косинская ул., д.20/17, корп.2",0.085,0.187,0.2,0.0,да
702,703,04-04-0212/006,"Косинская ул., д.18, корп.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1971-01-01,ПАО «МОЭК»,"Косинская ул., д.18, корп.2",0.36,0.79317,1.06,0.0,да
703,704,04-07-0222/057,"ул. Молостовых, д.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Ивановское,1976-01-01,ПАО «МОЭК»,"Саянская ул., д.8",0.27,0.594,0.64,0.0,да
704,705,04-07-0222/057,"ул. Молостовых, д.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Ивановское,1976-01-01,ПАО «МОЭК»,"Саянская ул., д.10",0.27,0.594156,0.639999,0.0,да
705,706,04-07-0222/057,"ул. Молостовых, д.2, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Ивановское,1976-01-01,ПАО «МОЭК»,"ул. Молостовых, д.2, корп.1",0.27,0.594,0.64,0.0,да
706,707,04-06-0603/023,"3-я Парковая ул., д.46, корп.5",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.46, корп.4",0.093,0.2046,0.17,0.0,да
707,708,04-06-0603/023,"3-я Парковая ул., д.46, корп.5",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.46, корп.6",0.094,0.2068,0.18,0.0,да
708,709,04-06-0603/023,"3-я Парковая ул., д.46, корп.5",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,1995-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.46, корп.5",0.093,0.2046,0.17,0.0,да
709,710,04-05-0604/024-10,"9-я Парковая ул., д.52, корп.3",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1960-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.50, корп.2",0.08,0.176,0.18,0.0,да
710,711,04-05-0604/024-10,"9-я Парковая ул., д.52, корп.3",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1960-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.52, корп.3",0.1,0.22,0.23,0.0,да
711,712,04-05-0604/024-10,"9-я Парковая ул., д.52, корп.3",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1960-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.52, корп.2",0.08,0.176,0.18,0.0,да
712,713,04-03-0209/061,"Новогиреевская ул., д.14, корп.1",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1961-01-01,ПАО «МОЭК»,"Новогиреевская ул., д.14, корп.1",0.2,0.44,0.32,0.0,да
713,714,04-02-0409/049,"3-я ул. Соколиной Горы, д.14",ИТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1962-01-01,ПАО «МОЭК»,"3-я ул. Соколиной Горы, д.14",0.1,0.2202899,0.17,0.0,да
714,715,04-07-0604/107,"15-я Парковая ул., д.31А",ИТП,Подвальное,ТЭЦ №23,Восточный,район Восточное Измайло,2012-09-12,ПАО «МОЭК»,"15-я Парковая ул., д.31А",0.0459,0.16065,0.1935,0.1422,да
715,716,04-04-0224/047,"ул. Алексея Дикого, д.7А",ИТП,Подвальное,ТЭЦ №22,Восточный,район Новогиреево,2008-01-03,ПАО «МОЭК»,"ул. Алексея Дикого, д.7А",0.029068,0.101738,0.091,0.106,нет
716,717,04-03-0209/088,"1-я Владимирская ул., д.19/1",ИТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1954-01-01,ПАО «МОЭК»,"1-я Владимирская ул., д.19/1",0.1,0.220689,0.28,0.0,да
717,718,20-06-0602/001,"Щёлковский пр., д.1А",ИТП,Подвальное,ТЭЦ №23,Восточный,район Северное Измайлово,2014-05-14,ПАО «МОЭК»,"Щёлковский пр., д.1А",0.0291,0.10185,0.087,0.106,да
718,719,04-05-0602/060,"3-я Парковая ул., д.37",ИТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1969-01-01,ПАО «МОЭК»,"3-я Парковая ул., д.37",0.0,0.0,0.27,0.0,нет
719,720,04-02-0609/026,"Фортунатовская ул., д.9",ИТП,Подвальное,ТЭЦ №23,Восточный,район Соколиная Гора,1961-01-01,ПАО «МОЭК»,"Фортунатовская ул., д.9",0.11,0.242,0.27,0.0,да
720,721,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"Буракова ул., д.23",0.0,0.0,0.4359,0.0,да
721,722,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"Буракова ул., д.23А",0.0,0.0,0.4287,0.0,да
722,723,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"Буракова ул., д.17/2",0.0,0.0,0.52,0.0,да
723,724,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.6, корп.2",0.024,0.0528,0.11,0.0,да
724,725,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"Буракова ул., д.21",0.0,0.0,0.13,0.0,да
725,726,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"просп. Будённого, д.30/8",0.27154,0.6082092,1.2739,0.0,да
726,727,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.4",0.0,0.0,0.4354,0.0,да
727,728,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"Буракова ул., д.19",0.17,0.374,0.34,0.0,да
728,729,04-02-0409/034,"5-я ул. Соколиной Горы, д.6, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1992-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.6, корп.1",0.024,0.053047,0.11,0.0,да
